participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	388	0.0	1	37	0.0	--	--	--
Nobody	1	389	0.0	1	38	0.0	--	--	--
Nobody	1	390	0.0	1	39	0.0	--	--	--
Nobody	1	391	0.0	1	40	0.0	--	--	--
Nobody	1	392	0.0	1	41	0.0	--	--	--
Nobody	1	393	0.0	1	42	0.0	--	--	--
Nobody	1	394	0.0	1	43	0.0	--	--	--
Nobody	1	395	0.0	1	44	0.0	--	--	--
Nobody	1	396	0.0	1	45	0.0	--	--	--
Nobody	1	397	0.0	1	46	0.0	--	--	--
Nobody	1	398	0.0	1	47	0.0	--	--	--
Nobody	1	399	0.0	1	48	0.0	--	--	--
Nobody	1	400	0.0	1	49	0.0	--	--	--
Nobody	1	401	20.0	1	0	0.0	--	--	--
Nobody	1	402	20.0	1	1	0.0	--	--	--
Nobody	1	403	20.0	1	2	0.0	--	--	--
Nobody	1	404	20.0	1	3	0.0	--	--	--
Nobody	1	405	20.0	1	4	0.0	--	--	--
Nobody	1	406	20.0	1	5	0.0	--	--	--
Nobody	1	407	20.0	1	6	0.0	--	--	--
Nobody	1	408	20.0	1	7	0.0	--	--	--
Nobody	1	409	20.0	1	8	0.0	--	--	--
Nobody	1	410	20.0	1	9	0.0	--	--	--
Nobody	1	411	20.0	1	10	0.0	--	--	--
Nobody	1	412	20.0	1	11	0.0	--	--	--
Nobody	1	413	20.0	1	12	0.0	--	--	--
Nobody	1	414	20.0	1	13	0.0	--	--	--
Nobody	1	415	20.0	1	14	0.0	--	--	--
Nobody	1	416	20.0	1	15	0.0	--	--	--
Nobody	1	417	20.0	1	16	0.0	--	--	--
Nobody	1	418	20.0	1	17	0.0	--	--	--
Nobody	1	419	20.0	1	18	0.0	--	--	--
Nobody	1	420	20.0	1	19	0.0	--	--	--
Nobody	1	421	20.0	1	20	0.0	--	--	--
Nobody	1	422	20.0	1	21	0.0	--	--	--
Nobody	1	423	20.0	1	22	0.0	--	--	--
Nobody	1	424	20.0	1	23	0.0	--	--	--
Nobody	1	425	20.0	1	24	0.0	--	--	--
Nobody	1	426	20.0	1	25	0.0	--	--	--
Nobody	1	427	20.0	1	26	0.0	--	--	--
Nobody	1	428	20.0	1	27	0.0	--	--	--
Nobody	1	429	20.0	1	28	0.0	--	--	--
Nobody	1	430	20.0	1	29	0.0	--	--	--
Nobody	1	431	20.0	1	30	0.0	--	--	--
Nobody	1	432	20.0	1	31	0.0	--	--	--
Nobody	1	433	20.0	1	32	0.0	--	--	--
Nobody	1	434	20.0	1	33	0.0	--	--	--
Nobody	1	435	20.0	1	34	0.0	--	--	--
Nobody	1	436	20.0	1	35	0.0	--	--	--
Nobody	1	437	20.0	1	36	0.0	--	--	--
Nobody	1	438	20.0	1	37	0.0	--	--	--
Nobody	1	439	20.0	1	38	0.0	--	--	--
Nobody	1	440	20.0	1	39	0.0	--	--	--
Nobody	1	441	20.0	1	40	0.0	--	--	--
Nobody	1	442	20.0	1	41	0.0	--	--	--
Nobody	1	443	20.0	1	42	0.0	--	--	--
Nobody	1	444	20.0	1	43	0.0	--	--	--
Nobody	1	445	20.0	1	44	0.0	--	--	--
Nobody	1	446	20.0	1	45	0.0	--	--	--
Nobody	1	447	20.0	1	46	0.0	--	--	--
Nobody	1	448	20.0	1	47	0.0	--	--	--
Nobody	1	449	20.0	1	48	0.0	--	--	--
Nobody	1	450	20.0	1	49	0.0	--	--	--
Nobody	1	451	0.0	1	0	0.0	--	--	--
Nobody	1	452	0.0	1	1	0.0	--	--	--
Nobody	1	453	0.0	1	2	0.0	--	--	--
Nobody	1	454	0.0	1	3	0.0	--	--	--
Nobody	1	455	0.0	1	4	0.0	--	--	--
Nobody	1	456	0.0	1	5	0.0	--	--	--
Nobody	1	457	0.0	1	6	0.0	--	--	--
